https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume KMD,Volume USDT,tradecount
1685750400000,2023-06-03,KMDUSDT,0.2786,0.284,0.2758,0.2789,395640.0,110720.5982,1539
1685664000000,2023-06-02,KMDUSDT,0.2734,0.2862,0.2732,0.2787,946105.0,266432.2822,2823
1685577600000,2023-06-01,KMDUSDT,0.2716,0.2889,0.27,0.2733,1555903.0,428962.0199,4388
1685491200000,2023-05-31,KMDUSDT,0.2842,0.285,0.2697,0.2716,985665.0,271125.5392,3164
1685404800000,2023-05-30,KMDUSDT,0.2864,0.296,0.2835,0.2844,1445417.0,418856.905,7261
1685318400000,2023-05-29,KMDUSDT,0.287,0.295,0.2823,0.2869,1174146.0,337828.0596,4093
1685232000000,2023-05-28,KMDUSDT,0.2839,0.2911,0.2831,0.287,805408.0,230849.4392,2497
1685145600000,2023-05-27,KMDUSDT,0.2885,0.2975,0.2821,0.2843,834149.0,239117.9842,3317
1685059200000,2023-05-26,KMDUSDT,0.2783,0.3089,0.2763,0.2885,3262020.0,959129.7512,9369
1684972800000,2023-05-25,KMDUSDT,0.2829,0.2882,0.2727,0.2781,924502.0,258484.2462,3342
1684886400000,2023-05-24,KMDUSDT,0.2979,0.2979,0.2729,0.2829,1422754.0,400043.1171,4545
1684800000000,2023-05-23,KMDUSDT,0.2921,0.2994,0.2852,0.2971,2025814.0,594971.4527,5398
1684713600000,2023-05-22,KMDUSDT,0.3035,0.3041,0.29,0.2923,1436237.0,424560.1207,4108
1684627200000,2023-05-21,KMDUSDT,0.3056,0.3114,0.3001,0.3034,1469387.0,447951.5616,4647
1684540800000,2023-05-20,KMDUSDT,0.2933,0.319,0.2915,0.3057,3372073.0,1032460.7463,11036
1684454400000,2023-05-19,KMDUSDT,0.3002,0.321,0.2912,0.2936,6214418.0,1906010.1422,16996
1684368000000,2023-05-18,KMDUSDT,0.2877,0.3155,0.2815,0.2995,3558343.0,1058391.7168,10792
1684281600000,2023-05-17,KMDUSDT,0.2883,0.2956,0.2786,0.2872,1839460.0,525384.806,5387
1684195200000,2023-05-16,KMDUSDT,0.2844,0.3064,0.2785,0.2883,6137401.0,1783073.3881,13782
1684108800000,2023-05-15,KMDUSDT,0.2804,0.3066,0.2786,0.2846,4764135.0,1409754.0549,12247
1684022400000,2023-05-14,KMDUSDT,0.2754,0.285,0.2753,0.2807,1086287.0,303480.1856,2629
1683936000000,2023-05-13,KMDUSDT,0.2825,0.2828,0.275,0.2757,1328380.0,369073.1791,4657
1683849600000,2023-05-12,KMDUSDT,0.2783,0.2942,0.2726,0.2822,2654936.0,746016.3788,7910
1683763200000,2023-05-11,KMDUSDT,0.2906,0.2906,0.2711,0.2787,1999076.0,559398.6121,5213
1683676800000,2023-05-10,KMDUSDT,0.2954,0.3058,0.2814,0.2905,2436071.0,712832.7403,7429
1683590400000,2023-05-09,KMDUSDT,0.292,0.3159,0.2896,0.2953,4086726.0,1235808.1462,11262
1683504000000,2023-05-08,KMDUSDT,0.3123,0.3154,0.2858,0.2921,3058520.0,917426.4376,9618
1683417600000,2023-05-07,KMDUSDT,0.3304,0.3456,0.311,0.3127,8299461.0,2702270.5354,17881
1683331200000,2023-05-06,KMDUSDT,0.3138,0.352,0.3023,0.3304,13181295.0,4343973.9026,32721
1683244800000,2023-05-05,KMDUSDT,0.3147,0.3248,0.3094,0.3137,2742743.0,867841.0785,6066
1683158400000,2023-05-04,KMDUSDT,0.3295,0.3307,0.3132,0.3147,2803410.0,904002.7128,6233
1683072000000,2023-05-03,KMDUSDT,0.3436,0.3692,0.3154,0.329,16516693.0,5597174.6303,36715
1682985600000,2023-05-02,KMDUSDT,0.3026,0.3966,0.3,0.3435,35541081.0,12676920.8476,81550
1682899200000,2023-05-01,KMDUSDT,0.3196,0.3317,0.3017,0.303,4298949.0,1372896.1333,9270
1682812800000,2023-04-30,KMDUSDT,0.3333,0.3439,0.316,0.3195,6123898.0,2004506.7181,15170
1682726400000,2023-04-29,KMDUSDT,0.3222,0.356,0.3106,0.3344,13678223.0,4584163.2055,32084
1682640000000,2023-04-28,KMDUSDT,0.3401,0.3419,0.3157,0.3225,4142110.0,1354188.7571,10002
1682553600000,2023-04-27,KMDUSDT,0.3446,0.3537,0.3343,0.3401,4839950.0,1659404.1905,11643
1682467200000,2023-04-26,KMDUSDT,0.3612,0.3739,0.3301,0.3447,8781956.0,3090796.2259,21670
1682380800000,2023-04-25,KMDUSDT,0.377,0.3968,0.345,0.3611,8247111.0,3009288.8692,21895
1682294400000,2023-04-24,KMDUSDT,0.3433,0.4165,0.336,0.377,27533495.0,10535295.6914,82541
1682208000000,2023-04-23,KMDUSDT,0.3736,0.3809,0.338,0.3433,8405865.0,3038487.8888,24842
1682121600000,2023-04-22,KMDUSDT,0.4272,0.439,0.3645,0.3736,30616280.0,12368961.859,97329
1682035200000,2023-04-21,KMDUSDT,0.3397,0.444,0.3311,0.4272,50342998.0,20185977.3152,139231
1681948800000,2023-04-20,KMDUSDT,0.3685,0.3988,0.3277,0.3396,12310682.0,4449008.3837,36552
1681862400000,2023-04-19,KMDUSDT,0.4425,0.495,0.3574,0.3681,59522650.0,25886003.9518,149593
1681776000000,2023-04-18,KMDUSDT,0.2855,0.53,0.2841,0.4423,160552927.0,69460476.36,410447
1681689600000,2023-04-17,KMDUSDT,0.2897,0.2901,0.2777,0.285,1355961.0,384615.1411,3454
1681603200000,2023-04-16,KMDUSDT,0.2835,0.331,0.2821,0.2894,4827663.0,1476380.3574,15023
1681516800000,2023-04-15,KMDUSDT,0.2849,0.2861,0.2757,0.2839,1605624.0,449439.8383,4141
1681430400000,2023-04-14,KMDUSDT,0.2727,0.302,0.2721,0.2847,4243218.0,1220807.9572,13082
1681344000000,2023-04-13,KMDUSDT,0.2671,0.2771,0.2655,0.2727,767344.0,207983.2593,2336
1681257600000,2023-04-12,KMDUSDT,0.2731,0.2736,0.2646,0.2673,669387.0,179175.7896,3097
1681171200000,2023-04-11,KMDUSDT,0.2741,0.281,0.2718,0.2732,1006971.0,277608.1418,5244
1681084800000,2023-04-10,KMDUSDT,0.2722,0.2763,0.268,0.274,836775.0,227388.348,2750
1680998400000,2023-04-09,KMDUSDT,0.2663,0.2855,0.2662,0.2721,1768836.0,489009.3991,5009
1680912000000,2023-04-08,KMDUSDT,0.2716,0.2751,0.2658,0.2666,1384024.0,374122.3161,4150
1680825600000,2023-04-07,KMDUSDT,0.2763,0.2785,0.2714,0.2716,928533.0,255041.9207,2917
1680739200000,2023-04-06,KMDUSDT,0.2882,0.2883,0.2748,0.276,1098661.0,306695.2906,3483
1680652800000,2023-04-05,KMDUSDT,0.2936,0.3013,0.282,0.2883,2373503.0,690942.7761,5842
1680566400000,2023-04-04,KMDUSDT,0.2829,0.3002,0.28,0.2936,2952780.0,863557.0269,6749
1680480000000,2023-04-03,KMDUSDT,0.2906,0.2951,0.28,0.2828,2219673.0,637129.7199,5269
1680393600000,2023-04-02,KMDUSDT,0.3015,0.3095,0.2861,0.2906,2535617.0,759554.2005,6247
1680307200000,2023-04-01,KMDUSDT,0.3137,0.3195,0.3,0.3013,4760212.0,1464885.3089,10372
1680220800000,2023-03-31,KMDUSDT,0.2713,0.3545,0.2689,0.3138,28191019.0,9124062.0948,67413
1680134400000,2023-03-30,KMDUSDT,0.2906,0.3094,0.2671,0.271,6855797.0,1975827.6147,18062
1680048000000,2023-03-29,KMDUSDT,0.2767,0.296,0.2657,0.2906,8892490.0,2496657.0547,22005
1679961600000,2023-03-28,KMDUSDT,0.3008,0.3379,0.2676,0.2769,36057663.0,10895011.1892,74599
1679875200000,2023-03-27,KMDUSDT,0.2382,0.3618,0.233,0.3008,72473783.0,22985393.2634,166068
1679788800000,2023-03-26,KMDUSDT,0.2298,0.2395,0.2296,0.2382,691857.0,162748.0907,2160
1679702400000,2023-03-25,KMDUSDT,0.2306,0.2357,0.2275,0.2302,594274.0,138230.7255,2746
1679616000000,2023-03-24,KMDUSDT,0.2386,0.2426,0.2282,0.2306,714724.0,168448.0387,2079
1679529600000,2023-03-23,KMDUSDT,0.2273,0.288,0.2252,0.2387,4677048.0,1171599.7151,10006
1679443200000,2023-03-22,KMDUSDT,0.2431,0.25,0.222,0.2275,1062812.0,253951.3843,2998
1679356800000,2023-03-21,KMDUSDT,0.2333,0.2455,0.2289,0.2426,626243.0,149401.6725,2476
1679270400000,2023-03-20,KMDUSDT,0.251,0.2528,0.233,0.2333,751471.0,183123.5095,2748
1679184000000,2023-03-19,KMDUSDT,0.2554,0.2596,0.2483,0.251,955015.0,242032.2193,2940
1679097600000,2023-03-18,KMDUSDT,0.2535,0.2621,0.25,0.2554,632854.0,162444.9496,2445
1679011200000,2023-03-17,KMDUSDT,0.2402,0.2539,0.2383,0.2528,685790.0,169016.9252,2695
1678924800000,2023-03-16,KMDUSDT,0.2356,0.2413,0.2329,0.2407,370139.0,87795.8852,1641
