https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume STMX,Volume BUSD,tradecount
1675900800000,2023-02-09,STMXBUSD,0.006983,0.00699,0.005857,0.005957,249824633.0,1623899.87171,7040
1675814400000,2023-02-08,STMXBUSD,0.006472,0.007993,0.006466,0.006983,835535422.0,6076398.963477,27782
1675728000000,2023-02-07,STMXBUSD,0.006304,0.006518,0.006142,0.006494,65980254.0,412221.692619,3375
1675641600000,2023-02-06,STMXBUSD,0.006366,0.006434,0.006152,0.006302,42086546.0,264782.296476,2008
1675555200000,2023-02-05,STMXBUSD,0.006411,0.006677,0.006012,0.006364,72109500.0,457445.314673,3377
1675468800000,2023-02-04,STMXBUSD,0.006434,0.006512,0.006175,0.006437,38219672.0,241673.05619,1901
1675382400000,2023-02-03,STMXBUSD,0.006,0.006432,0.005955,0.006429,115437017.0,710385.483996,5979
1675296000000,2023-02-02,STMXBUSD,0.005857,0.006196,0.005756,0.006007,144268123.0,866238.772055,5073
1675209600000,2023-02-01,STMXBUSD,0.005452,0.005949,0.005171,0.005833,132825018.0,731582.138672,5199
1675123200000,2023-01-31,STMXBUSD,0.005422,0.00549,0.005284,0.005457,59477430.0,320283.331894,2214
1675036800000,2023-01-30,STMXBUSD,0.006088,0.006088,0.005266,0.005432,85124690.0,484254.13611,3351
1674950400000,2023-01-29,STMXBUSD,0.005641,0.006204,0.005583,0.006092,58931214.0,343890.793526,2359
1674864000000,2023-01-28,STMXBUSD,0.005833,0.005874,0.00556,0.005656,31313726.0,178755.627713,1320
1674777600000,2023-01-27,STMXBUSD,0.005543,0.005883,0.005371,0.005831,118404117.0,674878.827687,4187
1674691200000,2023-01-26,STMXBUSD,0.005626,0.005679,0.00539,0.00555,52833388.0,292178.297563,2122
1674604800000,2023-01-25,STMXBUSD,0.005382,0.005958,0.005187,0.005631,190929684.0,1061006.934151,6503
1674518400000,2023-01-24,STMXBUSD,0.005476,0.00648,0.00528,0.005363,424224879.0,2497278.517553,16925
1674432000000,2023-01-23,STMXBUSD,0.005296,0.00552,0.005217,0.005487,83979172.0,448900.493316,3553
1674345600000,2023-01-22,STMXBUSD,0.005275,0.005527,0.005144,0.0053,95109017.0,509743.227932,3625
1674259200000,2023-01-21,STMXBUSD,0.005317,0.005461,0.00519,0.005277,86469266.0,463477.028046,3716
1674172800000,2023-01-20,STMXBUSD,0.004983,0.005322,0.004893,0.005322,55414778.0,278037.470927,2071
1674086400000,2023-01-19,STMXBUSD,0.004779,0.005036,0.004775,0.004984,36418762.0,177621.247615,1555
1674000000000,2023-01-18,STMXBUSD,0.005235,0.005443,0.00476,0.004777,100573430.0,515724.364971,3937
1673913600000,2023-01-17,STMXBUSD,0.005143,0.005352,0.005,0.005218,67919180.0,352721.446398,2835
1673827200000,2023-01-16,STMXBUSD,0.005324,0.005341,0.004938,0.005138,79366794.0,405109.866997,2802
1673740800000,2023-01-15,STMXBUSD,0.004852,0.0054,0.004852,0.005341,386177427.0,1971471.726827,16434
1673654400000,2023-01-14,STMXBUSD,0.004587,0.004946,0.004503,0.004849,161927071.0,771155.90914,9635
