https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume POLY,Volume BTC,tradecount
1651881600000,2022-05-07,POLYBTC,9.08e-06,9.08e-06,8.77e-06,8.84e-06,375252.0,3.33139577,861
1651795200000,2022-05-06,POLYBTC,9.28e-06,9.79e-06,8.58e-06,9.11e-06,4283948.0,37.91700328,3709
1651708800000,2022-05-05,POLYBTC,9.29e-06,9.57e-06,8.94e-06,9.28e-06,1242041.0,11.44356408,2743
1651622400000,2022-05-04,POLYBTC,9.1e-06,9.69e-06,8.85e-06,9.3e-06,755425.0,6.91612672,2010
1651536000000,2022-05-03,POLYBTC,8.85e-06,9.27e-06,8.81e-06,9.08e-06,1768755.0,16.05621416,2445
1651449600000,2022-05-02,POLYBTC,9.11e-06,9.22e-06,8.66e-06,8.85e-06,563599.0,5.00235188,1533
1651363200000,2022-05-01,POLYBTC,9.12e-06,9.51e-06,8.73e-06,9.12e-06,1095881.0,9.89904569,2015
1651276800000,2022-04-30,POLYBTC,9.76e-06,1.046e-05,9.02e-06,9.11e-06,1227080.0,11.87758462,3202
1651190400000,2022-04-29,POLYBTC,9.86e-06,9.88e-06,9.69e-06,9.75e-06,424750.0,4.1522613,1164
1651104000000,2022-04-28,POLYBTC,1.003e-05,1.004e-05,9.73e-06,9.87e-06,423369.0,4.18950798,1315
1651017600000,2022-04-27,POLYBTC,1.003e-05,1.035e-05,9.91e-06,1.006e-05,532452.0,5.35077589,1624
1650931200000,2022-04-26,POLYBTC,1.013e-05,1.016e-05,9.7e-06,1.003e-05,1517928.0,15.10955918,2996
1650844800000,2022-04-25,POLYBTC,1.067e-05,1.074e-05,9.95e-06,1.016e-05,2904848.0,29.95531673,4772
1650758400000,2022-04-24,POLYBTC,1.114e-05,1.334e-05,1.062e-05,1.068e-05,6111771.0,73.12790004,17536
1650672000000,2022-04-23,POLYBTC,1.133e-05,1.2e-05,1.086e-05,1.112e-05,2062926.0,23.37228892,6659
1650585600000,2022-04-22,POLYBTC,1.03e-05,1.133e-05,1.022e-05,1.133e-05,2772429.0,30.19789563,8599
1650499200000,2022-04-21,POLYBTC,1.029e-05,1.067e-05,9.98e-06,1.031e-05,1435445.0,14.78032179,4032
1650412800000,2022-04-20,POLYBTC,1.006e-05,1.035e-05,9.89e-06,1.03e-05,664836.0,6.72672874,1947
1650326400000,2022-04-19,POLYBTC,1e-05,1.021e-05,9.78e-06,1.006e-05,349471.0,3.4930284,1056
1650240000000,2022-04-18,POLYBTC,1.026e-05,1.027e-05,9.85e-06,1.001e-05,727622.0,7.29163598,1842
1650153600000,2022-04-17,POLYBTC,1.009e-05,1.1e-05,1.008e-05,1.024e-05,1463527.0,15.47797722,5847
1650067200000,2022-04-16,POLYBTC,1.014e-05,1.014e-05,1.001e-05,1.008e-05,53083.0,0.53396097,315
1649980800000,2022-04-15,POLYBTC,1.021e-05,1.03e-05,9.93e-06,1.016e-05,349128.0,3.50965756,1090
1649894400000,2022-04-14,POLYBTC,1.025e-05,1.027e-05,1.005e-05,1.022e-05,291961.0,2.96839631,1124
1649808000000,2022-04-13,POLYBTC,1.021e-05,1.153e-05,1.014e-05,1.028e-05,2780739.0,29.66290987,6311
1649721600000,2022-04-12,POLYBTC,9.6e-06,1.2e-05,9.45e-06,1.022e-05,6438053.0,68.47497315,16978
1649635200000,2022-04-11,POLYBTC,9.92e-06,1.016e-05,9.4e-06,9.61e-06,787158.0,7.57446923,2134
1649548800000,2022-04-10,POLYBTC,1.019e-05,1.019e-05,9.91e-06,9.92e-06,211984.0,2.12488408,823
1649462400000,2022-04-09,POLYBTC,1.004e-05,1.032e-05,9.83e-06,1.021e-05,312036.0,3.14143865,1409
